  1.00   .18   .05   .27   .21   .11   .08   .02   .11   .08                  
   .18  1.00   .22   .40   .41   .10   .34   .19   .29   .26                  
   .05   .22  1.00   .40   .32   .09   .23   .27   .31   .28                  
   .27   .40   .40  1.00   .62   .07   .29   .24   .37   .33                  
   .21   .41   .32   .62  1.00   .08   .30   .29   .33   .42                  
   .11   .10   .09   .07   .08  1.00   .21  -.04   .28   .20                  
   .08   .34   .23   .29   .30   .21  1.00   .30   .52   .50                  
   .02   .19   .27   .24   .29  -.04   .30  1.00   .41   .36                  
   .11   .29   .31   .37   .33   .28   .52   .41  1.00   .64                  
   .08   .26   .28   .33   .42   .20   .50   .36   .64  1.00
