7.37 13.81 16.93   8.17  13.33  17.56
1.000  .670  .489  .598  .627  .456                                                     
.670 1.000  .555  .499  .697  .567                                                     
.489  .555 1.000  .526  .560  .725                                                     
.598  .499  .526 1.000  .784  .576                                                    
.627  .697  .560  .784 1.000  .540                                                      
.456  .567  .725  .576  .540 1.000 
8.00  12.37  15.19   6.85  11.78  14.76
1.000  .611  .754  .673  .622  .614                                                    
.611 1.000  .676  .464  .786  .636                                                    
.754  .676 1.000  .521  .635  .650                                                     
.673  .464  .521 1.000  .599  .574                                                    
.622  .786  .635  .599 1.000  .634                                                    
.614  .636  .650  .574  .634 1.000
9.12  16.51  17.20   7.70  14.52  14.74
1.000  .664  .673  .073  .194  .379                                                    
.664 1.000  .766  .313  .380  .361                                                     
.673  .766 1.000  .239  .347  .545                                                    
.073  .313  .239 1.000  .739  .645                                                    
.194  .380  .347  .739 1.000  .751                                                     
.379  .361  .545  .645  .751 1.000
8.99  15.44  16.98   7.65  14.59  18.56
1.000  .779  .674  .462  .562  .392                                                    
.779 1.000  .679  .412  .537  .359                                                    
.674  .679 1.000  .500  .636  .565                                                      
.462  .412  .500 1.000  .620  .745                                                       
.562  .537  .636  .620 1.000  .603                                                     
.392  .359  .565  .745  .603 1.000
